True_Model,Fit_Model,KL,ISE,MSE,Rank_KL,Rank_ISE,Rank_MSE
GaN,GaN,0.013238726,0.001016119,1.508298139,2.677480159,3.069047619,2.532539683
GaN,IGaN,0.016540538,0.001328878,1.508418554,2.091964286,1.573313492,2.439583333
GaN,IGauN,0.014703628,0.001143317,1.508332374,2.528472222,2.462996032,2.497619048
GaN,RIGauN,0.014241685,0.001104092,1.508317535,2.702083333,2.894642857,2.530257937
IGaN,GaN,0.02403141,0.003734206,1.506139925,1.564980159,1.137003968,2.351488095
IGaN,IGaN,0.02901169,0.005048612,1.506100589,3.019146825,3.496329365,2.569345238
IGaN,IGauN,0.014493602,0.002241232,1.505695995,2.96140873,3.154464286,2.588789683
IGaN,RIGauN,0.016950126,0.002704106,1.505859452,2.454464286,2.212202381,2.490376984
IGauN,GaN,0.016882581,0.001638025,1.513013629,2.031646825,2.015674603,2.464186508
IGauN,IGaN,0.015602421,0.001862371,1.51310949,2.440972222,2.097420635,2.460416667
IGauN,IGauN,0.012948283,0.001430181,1.512917692,2.827281746,3.004563492,2.541269841
IGauN,RIGauN,0.013198974,0.001384137,1.512916627,2.700099206,2.88234127,2.534126984
RIGauN,GaN,0.015253789,0.001321417,1.511340634,2.293650794,2.493154762,2.494742063
RIGauN,IGaN,0.016278617,0.001696332,1.511477294,2.239484127,1.756646825,2.436507937
RIGauN,IGauN,0.013553083,0.001320211,1.511311687,2.717063492,2.754365079,2.525992063
RIGauN,RIGauN,0.013264016,0.001248567,1.511294579,2.749801587,2.995833333,2.542757937
"Uniform
Mixture",GaN,0.015797216,0.001603539,1.510449634,2.100198413,1.891964286,2.447123016
"Uniform
Mixture",IGaN,0.015724726,0.001657024,1.510458903,2.478472222,2.472420635,2.485615079
"Uniform
Mixture",IGauN,0.012948558,0.001402915,1.510326382,2.764781746,2.953769841,2.536607143
"Uniform
Mixture",RIGauN,0.013047346,0.001386027,1.510338238,2.656547619,2.681845238,2.530654762
C2_GaN,GaN,0.014481307,0.001235382,1.511348568,2.408134921,2.320238095,2.505555556
C2_GaN,IGaN,0.016199413,0.001415081,1.5114629,2.290079365,2.212301587,2.462103175
C2_GaN,IGauN,0.013737299,0.001204608,1.51135923,2.633234127,2.737103175,2.499702381
C2_GaN,RIGauN,0.013419088,0.001171691,1.511334872,2.668551587,2.730357143,2.532638889
C2_IGaN,GaN,0.022418191,0.003126361,1.513064114,1.647222222,1.22281746,2.37281746
C2_IGaN,IGaN,0.020413011,0.002344373,1.512780275,2.898809524,3.31140873,2.55734127
C2_IGaN,IGauN,0.014306494,0.001989995,1.512697097,2.941468254,3.153869048,2.575396825
C2_IGaN,RIGauN,0.016182066,0.002298479,1.512815106,2.5125,2.311904762,2.494444444
C2_IGauN,GaN,0.016198418,0.001571143,1.509113142,2.093055556,2.083035714,2.446230159
C2_IGauN,IGaN,0.015578203,0.001805839,1.509117439,2.396031746,2.075297619,2.474107143
C2_IGauN,IGauN,0.012859065,0.001402528,1.508976107,2.800496032,2.952777778,2.546031746
C2_IGauN,RIGauN,0.012978365,0.001355109,1.508987042,2.710416667,2.888888889,2.533630952
C2_RIGauN,GaN,0.014824636,0.001258059,1.506791391,2.369345238,2.536309524,2.512202381
C2_RIGauN,IGaN,0.016450324,0.001615094,1.506985624,2.214484127,1.768948413,2.424801587
C2_RIGauN,IGauN,0.013561941,0.001275029,1.506782265,2.675396825,2.721130952,2.520238095
C2_RIGauN,RIGauN,0.013199503,0.001208863,1.506750696,2.74077381,2.973611111,2.542757937
C4_GaN,GaN,0.014460872,0.001201603,1.509703656,2.430853175,2.505257937,2.494444444
C4_GaN,IGaN,0.016192683,0.001464375,1.509793819,2.25218254,1.977083333,2.453472222
C4_GaN,IGauN,0.013685306,0.001209619,1.509666418,2.633134921,2.689980159,2.520634921
C4_GaN,RIGauN,0.013368755,0.001164305,1.509656361,2.683829365,2.827678571,2.531448413
C4_IGaN,GaN,0.020255281,0.002667792,1.509644697,1.755853175,1.321626984,2.394345238
C4_IGaN,IGaN,0.019541818,0.002647822,1.509453313,2.828869048,3.19672619,2.551785714
C4_IGaN,IGauN,0.013712251,0.001835282,1.509359587,2.880456349,3.109920635,2.563789683
C4_IGaN,RIGauN,0.015013323,0.002023644,1.509444583,2.534821429,2.37172619,2.490079365
C4_IGauN,GaN,0.016398435,0.001625757,1.507224168,2.051587302,1.951785714,2.45327381
C4_IGauN,IGaN,0.015962404,0.001778001,1.50731533,2.478769841,2.276686508,2.466666667
C4_IGauN,IGauN,0.012925585,0.001408336,1.507115947,2.802876984,2.990376984,2.546527778
C4_IGauN,RIGauN,0.013158153,0.001377823,1.507120537,2.666765873,2.781150794,2.533531746
C4_RIGauN,GaN,0.015000007,0.001414549,1.506431325,2.23452381,2.231845238,2.475297619
C4_RIGauN,IGaN,0.015320873,0.001669602,1.506571546,2.31765873,2.043154762,2.439186508
C4_RIGauN,IGauN,0.012930384,0.001334726,1.506382665,2.728670635,2.854861111,2.535019841
C4_RIGauN,RIGauN,0.01278539,0.001281786,1.506365961,2.719146825,2.870138889,2.550496032
