True_Model,Fit_Model,KL,ISE,MSE,Rank_KL,Rank_ISE,Rank_MSE
GaN,GaN,0.013238726,0.001016119,1.508298139,2.677480159,3.069047619,2.532539683
GaN,IGaN,0.016540538,0.001328878,1.508418554,2.091964286,1.573313492,2.439583333
GaN,IGauN,0.014703628,0.001143317,1.508332374,2.528472222,2.462996032,2.497619048
GaN,RIGauN,0.014241685,0.001104092,1.508317535,2.702083333,2.894642857,2.530257937
IGaN,GaN,0.02403141,0.003734206,1.506139925,1.564980159,1.137003968,2.351488095
IGaN,IGaN,0.02901169,0.005048612,1.506100589,3.019146825,3.496329365,2.569345238
IGaN,IGauN,0.014493602,0.002241232,1.505695995,2.96140873,3.154464286,2.588789683
IGaN,RIGauN,0.016950126,0.002704106,1.505859452,2.454464286,2.212202381,2.490376984
IGauN,GaN,0.016882581,0.001638025,1.513013629,2.031646825,2.015674603,2.464186508
IGauN,IGaN,0.015602421,0.001862371,1.51310949,2.440972222,2.097420635,2.460416667
IGauN,IGauN,0.012948283,0.001430181,1.512917692,2.827281746,3.004563492,2.541269841
IGauN,RIGauN,0.013198974,0.001384137,1.512916627,2.700099206,2.88234127,2.534126984
RIGauN,GaN,0.015253789,0.001321417,1.511340634,2.293650794,2.493154762,2.494742063
RIGauN,IGaN,0.016278617,0.001696332,1.511477294,2.239484127,1.756646825,2.436507937
RIGauN,IGauN,0.013553083,0.001320211,1.511311687,2.717063492,2.754365079,2.525992063
RIGauN,RIGauN,0.013264016,0.001248567,1.511294579,2.749801587,2.995833333,2.542757937
"Uniform
Mixture",GaN,0.015797216,0.001603539,1.510449634,2.100198413,1.891964286,2.447123016
"Uniform
Mixture",IGaN,0.015724726,0.001657024,1.510458903,2.478472222,2.472420635,2.485615079
"Uniform
Mixture",IGauN,0.012948558,0.001402915,1.510326382,2.764781746,2.953769841,2.536607143
"Uniform
Mixture",RIGauN,0.013047346,0.001386027,1.510338238,2.656547619,2.681845238,2.530654762
