True_Model,Fit_Model,KL,ISE,MSE,Rank_KL,Rank_ISE,Rank_MSE
GaN,GaN,0.014460872,0.001201603,1.509703656,2.430853175,2.505257937,2.494444444
GaN,IGaN,0.016192683,0.001464375,1.509793819,2.25218254,1.977083333,2.453472222
GaN,IGauN,0.013685306,0.001209619,1.509666418,2.633134921,2.689980159,2.520634921
GaN,RIGauN,0.013368755,0.001164305,1.509656361,2.683829365,2.827678571,2.531448413
IGaN,GaN,0.020255281,0.002667792,1.509644697,1.755853175,1.321626984,2.394345238
IGaN,IGaN,0.019541818,0.002647822,1.509453313,2.828869048,3.19672619,2.551785714
IGaN,IGauN,0.013712251,0.001835282,1.509359587,2.880456349,3.109920635,2.563789683
IGaN,RIGauN,0.015013323,0.002023644,1.509444583,2.534821429,2.37172619,2.490079365
IGauN,GaN,0.016398435,0.001625757,1.507224168,2.051587302,1.951785714,2.45327381
IGauN,IGaN,0.015962404,0.001778001,1.50731533,2.478769841,2.276686508,2.466666667
IGauN,IGauN,0.012925585,0.001408336,1.507115947,2.802876984,2.990376984,2.546527778
IGauN,RIGauN,0.013158153,0.001377823,1.507120537,2.666765873,2.781150794,2.533531746
RIGauN,GaN,0.015000007,0.001414549,1.506431325,2.23452381,2.231845238,2.475297619
RIGauN,IGaN,0.015320873,0.001669602,1.506571546,2.31765873,2.043154762,2.439186508
RIGauN,IGauN,0.012930384,0.001334726,1.506382665,2.728670635,2.854861111,2.535019841
RIGauN,RIGauN,0.01278539,0.001281786,1.506365961,2.719146825,2.870138889,2.550496032
