True_Model,Fit_Model,KL,ISE,Rank_KL,Rank_ISE
Uniform,GaN,0.014245684,0.001959256,4.659090909,3.488636364
Uniform,IGaN,0.011512814,0.001341677,5.818181818,7.160037879
Uniform,IGauN,0.012811497,0.001648705,5.483901515,6.114583333
Uniform,RIGauN,0.013093922,0.001726652,5.213068182,5.24905303
Uniform,t,0.014166638,0.001951038,4.618371212,4.141098485
Uniform,Laplace,0.043879269,0.00875566,2.439393939,1.123106061
Uniform,Normal,0.050129525,0.00448621,2.377840909,1.930871212
Uniform,NPMN,0.013182133,0.001250788,5.390151515,6.792613636
t,GaN,0.010089739,0.000831394,4.979166667,4.354166667
t,IGaN,0.008891631,0.000731238,5.645833333,6.583333333
t,IGauN,0.009527459,0.000768981,5.479166667,6.1875
t,RIGauN,0.009662798,0.000778439,5.25,5.614583333
t,t,0.010038034,0.000824882,4.885416667,4.552083333
t,Laplace,0.055528365,0.013500582,1.770833333,1
t,Normal,0.030300725,0.002233975,2.666666667,2.0625
t,NPMN,0.008426171,0.000918245,5.322916667,5.645833333
Laplace,GaN,0.021462118,0.0053031,3.552083333,2.302083333
Laplace,IGaN,0.007821984,0.001804458,6.520833333,7.34375
Laplace,IGauN,0.012477707,0.003270181,5.583333333,5.645833333
Laplace,RIGauN,0.015617807,0.004175762,4.9375,4.364583333
Laplace,t,0.021447234,0.005295593,3.708333333,3.260416667
Laplace,Laplace,0.015207167,0.003503426,4.583333333,5.104166667
Laplace,Normal,0.116425309,0.013786413,1.28125,1.010416667
Laplace,NPMN,0.011953432,0.002024475,5.833333333,6.96875
Normal,GaN,0.008622121,0.000771608,4.9375,4.447916667
Normal,IGaN,0.008787757,0.000731414,5.572916667,6.5
Normal,IGauN,0.008758373,0.000753195,5.260416667,5.75
Normal,RIGauN,0.008741477,0.000753497,5.020833333,5.21875
Normal,t,0.008555749,0.000768773,4.864583333,4.552083333
Normal,Laplace,0.073683297,0.013879614,1.4375,1
Normal,Normal,0.020949712,0.001372507,3.744791667,2.447916667
Normal,NPMN,0.010277971,0.000788421,5.161458333,6.083333333
